x,y,xm,ym,zm,normalizedX,normalizedY,distance,density
70.5,62.5,-1351.15,-1159.05,1782.814,0,0,0,4173.014
71,63,-1112.95,-1394.25,1783.54,0.5,0.5,0.707106781,4170.74
71.5,63.5,-832.9,-1556.55,1677.544,1,1,1.414213562,3946.994
72,64,-544.9,-1633.5,1481.04,1.5,1.5,2.121320344,3539.44
72.5,64.5,-297.25,-1608.75,1225.004,2,2,2.828427125,3011.004
73,65,-94.3,-1512.15,963.16,2.5,2.5,3.535533906,2449.61
73.5,65.5,45.65,-1369.8,718.982,3,3,4.242640687,2014.432
74,66,141.05,-1197.45,509.168,3.5,3.5,4.949747468,1727.668
74.5,66.5,188,-1022.7,345.092,4,4,5.656854249,1435.792
75,67,206.9,-861,220.704,4.5,4.5,6.363961031,1168.604
75.5,67.5,207.95,-722.25,136.004,5,5,7.071067812,946.204
76,68,198.65,-600.9,76.956,5.5,5.5,7.778174593,756.506
76.5,68.5,182.15,-500.7,39.688,6,6,8.485281374,602.538
77,69,162.95,-418.5,17.424,6.5,6.5,9.192388155,478.874
77.5,69.5,145.1,-354.45,6.292,7,7,9.899494937,385.842
78,70,129.05,-300.45,2.662,7.5,7.5,10.60660172,312.162
78.5,70.5,113.3,-259.05,3.146,8,8,11.3137085,255.496
79,71,99.2,-225.45,7.018,8.5,8.5,12.02081528,211.668
79.5,71.5,88.1,-198.9,12.584,9,9,12.72792206,179.584
80,72,77.75,-176.85,19.118,9.5,9.5,13.43502884,153.718
80.5,72.5,69.35,-159.75,25.168,10,10,14.14213562,134.268
81,73,61.4,-145.05,30.976,10.5,10.5,14.8492424,117.426
81.5,73.5,55.85,-134.55,36.3,11,11,15.55634919,106.7
82,74,49.7,-124.35,42.108,11.5,11.5,16.26345597,96.158
82.5,74.5,45.35,-116.4,46.948,12,12,16.97056275,88.698
83,75,41.3,-109.5,51.062,12.5,12.5,17.67766953,81.862
83.5,75.5,37.7,-103.65,54.692,13,13,18.38477631,76.042
84,76,34.7,-98.7,58.322,13.5,13.5,19.09188309,71.722
84.5,76.5,32.15,-95.55,60.5,14,14,19.79898987,68.2
85,77,29.9,-91.8,63.404,14.5,14.5,20.50609665,65.104
85.5,77.5,27.65,-89.25,65.824,15,15,21.21320344,62.724
86,78,25.7,-86.7,68.002,15.5,15.5,21.92031022,60.402
86.5,78.5,24.65,-84.3,69.212,16,16,22.627417,58.162
87,79,22.85,-82.65,70.906,16.5,16.5,23.33452378,56.406
87.5,79.5,21.35,-80.85,71.39,17,17,24.04163056,53.59
88,80,20.45,-79.65,73.084,17.5,17.5,24.74873734,53.184
88.5,80.5,19.55,-78.6,74.294,18,18,25.45584412,52.444
89,81,18.05,-77.4,75.02,18.5,18.5,26.1629509,50.47
89.5,81.5,17.75,-76.05,75.746,19,19,26.87005769,49.546
90,82,16.55,-75.75,75.746,19.5,19.5,27.57716447,48.046
90.5,82.5,16.25,-75.15,76.956,20,20,28.28427125,48.356
91,83,15.2,-74.4,77.198,20.5,20.5,28.99137803,46.798
91.5,83.5,14.3,-73.95,77.198,21,21,29.69848481,45.448
92,84,13.85,-73.35,77.198,21.5,21.5,30.40559159,44.398
92.5,84.5,12.95,-72.9,77.198,22,22,31.11269837,43.048
93,85,12.5,-72.3,77.198,22.5,22.5,31.81980515,41.998
93.5,85.5,12.5,-71.55,77.44,23,23,32.52691193,41.49
94,86,11.15,-71.4,77.924,23.5,23.5,33.23401872,40.474
