xm,ym,zm,distance,B
-31.35,19.05,-5.082,41.25457736,55.482
-31.95,18.6,-4.84,41.12056463,55.39
-31.65,19.35,-5.324,40.98651787,56.324
-31.8,19.05,-4.356,40.85243732,55.206
-31.8,19.35,-4.84,40.71832319,55.99
-32.1,19.2,-4.84,40.58417571,56.14
-32.1,19.35,-5.082,40.4499951,56.532
-32.4,19.35,-4.598,40.31578159,56.348
-32.4,19.35,-5.082,40.18153539,56.832
-31.95,19.5,-4.84,40.04725671,56.29
-31.95,19.95,-4.356,39.91294578,56.256
-32.4,19.5,-3.872,39.7786028,55.772
-32.25,19.65,-4.84,39.64422798,56.74
-32.55,19.65,-4.84,39.50982154,57.04
-32.1,19.65,-4.114,39.37538368,55.864
-31.95,19.95,-4.84,39.2409146,56.74
-32.25,20.25,-4.356,39.10641452,56.856
-32.1,20.1,-4.356,38.97188362,56.556
-32.7,20.4,-3.872,38.83732211,56.972
-32.4,20.1,-4.114,38.7027302,56.614
-32.4,20.25,-4.114,38.56810807,56.764
-32.7,20.4,-4.356,38.43345592,57.456
-32.55,20.25,-3.63,38.29877395,56.43
-32.25,20.55,-3.872,38.16406235,56.672
-32.25,20.4,-3.872,38.0293213,56.522
-32.55,20.25,-4.356,37.894551,57.156
-32.25,20.25,-4.598,37.75975163,57.098
-32.7,20.7,-4.356,37.62492338,57.756
-32.85,20.85,-3.63,37.49006643,57.33
-32.4,20.85,-3.872,37.35518097,57.122
-32.55,20.7,-3.63,37.22026718,56.88
-32.55,21,-3.872,37.08532523,57.422
-33,21.15,-4.114,36.95035531,58.264
-32.85,21.3,-3.872,36.81535758,58.022
-32.55,21.15,-3.872,36.68033224,57.572
-32.55,20.85,-3.146,36.54527944,56.546
-32.7,21.15,-3.63,36.41019936,57.48
-32.85,21.15,-4.356,36.27509218,58.356
-33.15,21.45,-3.388,36.13995806,57.988
-33.3,21.3,-3.872,36.00479717,58.472
-32.85,21,-3.146,35.86960968,56.996
-33.15,21,-3.63,35.73439574,57.78
-32.85,21.3,-4.114,35.59915554,58.264
-32.85,21.45,-3.146,35.46388923,57.446
-33,21.45,-3.388,35.32859696,57.838
-33.15,21.75,-3.63,35.19327891,58.53
-33.15,21.75,-3.146,35.05793523,58.046
-33.45,21.45,-3.63,34.92256607,58.53
-33,21.9,-3.63,34.7871716,58.53
-33.3,21.75,-3.63,34.65175197,58.68
-33.3,21.9,-3.63,34.51630733,58.83
-33.3,21.9,-3.388,34.38083783,58.588
-33.3,21.45,-2.662,34.24534364,57.412
-33,22.2,-2.904,34.10982489,58.104
-33.3,21.9,-3.146,33.97428173,58.346
-33.3,21.75,-3.146,33.83871432,58.196
-33.3,21.9,-3.146,33.7031228,58.346
-33.75,22.05,-3.388,33.56750732,59.188
-33.75,22.2,-3.872,33.43186801,59.822
-33.6,22.5,-3.63,33.29620503,59.73
-33.75,22.05,-3.63,33.16051852,59.43
-33.3,22.65,-3.146,33.02480861,59.096
-33.9,22.05,-3.63,32.88907545,59.58
-33.75,22.35,-3.63,32.75331918,59.73
-33.6,22.5,-3.146,32.61753993,59.246
-33.6,22.5,-3.63,32.48173784,59.73
-33.75,22.35,-3.388,32.34591304,59.488
-34.2,22.95,-2.904,32.21006568,60.054
-34.2,22.65,-2.904,32.07419587,59.754
-33.9,22.65,-3.146,31.93830377,59.696
-34.2,22.95,-2.904,31.80238949,60.054
-34.05,23.25,-3.388,31.66645317,60.688
-34.05,22.8,-3.388,31.53049494,60.238
-34.35,22.95,-3.872,31.39451493,61.172
-34.2,22.65,-3.63,31.25851325,60.48
-34.2,22.95,-3.146,31.12249005,60.296
-34.2,22.95,-3.146,30.98644545,60.296
-34.05,22.95,-3.63,30.85037956,60.63
-34.8,22.95,-3.872,30.71429252,61.622
-34.35,23.4,-3.872,30.57818444,61.622
-34.65,23.1,-3.872,30.44205546,61.622
-34.5,23.4,-3.146,30.30590568,61.046
-34.5,23.55,-3.63,30.16973523,61.68
-34.95,23.7,-3.63,30.03354424,62.28
-34.65,23.55,-3.872,29.8973328,62.072
-34.8,23.4,-3.63,29.76110105,61.83
-34.95,23.55,-3.872,29.62484911,62.372
-34.95,23.7,-4.598,29.48857707,63.248
-34.8,24.3,-3.872,29.35228507,62.972
-35.25,24.15,-4.114,29.21597321,63.514
-34.95,23.7,-4.356,29.07964161,63.006
-34.8,23.55,-3.872,28.94329038,62.222
-34.95,24,-4.84,28.80691963,63.79
-35.4,24.15,-4.84,28.67052947,64.39
-35.4,24.45,-4.598,28.53412001,64.448
-35.25,24.45,-5.082,28.39769137,64.782
-35.55,24.45,-4.598,28.26124363,64.598
-35.55,24.75,-4.84,28.12477693,65.14
-35.55,24.3,-4.84,27.98829135,64.69
-36,25.05,-4.84,27.85178701,65.89
-36.15,24.9,-5.082,27.71526402,66.132
