x,y,z,xm,ym,zm
45.0,37.0,0,2.1,-6.3,99.22
45.0,37.5,0,2.4,-6.0,98.73599999999999
45.0,38.0,0,2.1,-6.0,99.704
45.0,38.5,0,2.85,-6.1499999999999995,100.188
45.0,39.0,0,2.55,-6.0,99.946
45.0,39.5,0,3.0,-6.0,100.672
45.0,40.0,0,3.3,-5.7,100.914
45.0,40.5,0,3.75,-5.3999999999999995,101.398
45.0,41.0,0,3.4499999999999997,-5.7,100.914
45.0,41.5,0,4.05,-5.85,102.366
45.0,42.0,0,4.05,-6.1499999999999995,101.88199999999999
45.0,42.5,0,4.6499999999999995,-5.85,102.366
45.0,43.0,0,4.8,-5.85,102.608
45.0,43.5,0,4.35,-6.1499999999999995,102.608
45.0,44.0,0,4.95,-6.1499999999999995,102.85
45.0,44.5,0,5.1,-6.1499999999999995,102.85
45.0,45.0,0,5.55,-5.85,103.092
45.0,45.5,0,5.7,-6.45,104.06
45.0,46.0,0,5.85,-6.45,103.818
45.0,46.5,0,5.85,-6.8999999999999995,103.818
45.0,47.0,0,6.6,-7.199999999999999,104.786
45.0,47.5,0,6.6,-6.75,104.30199999999999
45.0,48.0,0,6.8999999999999995,-7.5,104.544
45.0,48.5,0,6.45,-7.35,104.30199999999999
45.0,49.0,0,7.05,-7.6499999999999995,105.02799999999999
45.0,49.5,0,7.5,-8.25,105.02799999999999
45.0,50.0,0,7.6499999999999995,-8.4,105.512
45.0,50.5,0,7.6499999999999995,-8.4,105.27
45.0,51.0,0,8.1,-8.549999999999999,105.512
45.0,51.5,0,8.1,-9.0,105.02799999999999
45.0,52.0,0,8.25,-9.45,105.27
45.0,52.5,0,8.549999999999999,-9.299999999999999,105.512
45.0,53.0,0,8.549999999999999,-9.9,105.75399999999999
45.0,53.5,0,9.6,-10.5,105.996
45.0,54.0,0,9.45,-10.799999999999999,106.238
45.0,54.5,0,9.75,-10.799999999999999,105.512
45.0,55.0,0,9.75,-11.1,105.996
45.0,55.5,0,10.65,-11.549999999999999,105.996
45.0,56.0,0,10.5,-12.299999999999999,106.238
45.0,56.5,0,11.1,-12.6,106.238
45.0,57.0,0,11.7,-13.2,106.238
45.0,57.5,0,12.0,-13.2,106.722
45.0,58.0,0,12.6,-13.799999999999999,107.206
45.0,58.5,0,12.75,-13.95,106.964
